Headline,Source,Published,Type,Video ID,Published URL,User_ID,Team_ID,Platform_ID
Headline_1bc8102a139b,https://obfuscated.source.example/cae3e4cdfacf7d35,No,news bulletin,523037691,,2,1,
Headline_c61aec7555c3,https://obfuscated.source.example/c334dcf36dedade3,No,news bulletin,764632051,,2,1,
Headline_5f8716e5833a,https://obfuscated.source.example/f820b3d5b3c6044b,No,news bulletin,970639701,,2,1,
Headline_50c78c3bdeae,https://obfuscated.source.example/2cb28865070e6c75,Yes,news bulletin,841217136,https://obfuscated.published.example/ced5e4b15b793655,2,1,9.0
Headline_4cde38256635,https://obfuscated.source.example/8d1b2bb77b5ccc02,No,news bulletin,600257526,,2,1,
Headline_87742385b497,https://obfuscated.source.example/563bba03ec4a4080,No,news bulletin,194749096,,2,1,
Headline_d38ccb001fbe,https://obfuscated.source.example/aacae8e5b5893d23,No,news bulletin,144043912,,2,1,
Headline_29a0dcd8fbd6,https://obfuscated.source.example/c60e09bd0a49c8e1,No,news bulletin,83338002,,2,1,
Headline_0f1b419fbd5f,https://obfuscated.source.example/a53a1b2dfc38a4a7,No,news bulletin,365144133,,2,1,
Headline_912d6f601f01,https://obfuscated.source.example/8218635b2b50a97a,Yes,news bulletin,557914091,https://obfuscated.published.example/6e3bf97dcf11cf68,2,1,9.0
Headline_78e3a63e8083,https://obfuscated.source.example/451e2924abb15b9d,No,news bulletin,309151151,,2,1,
Headline_af66545fccc3,https://obfuscated.source.example/68b3dcdcf6873c4a,No,news bulletin,370309852,,2,1,
Headline_0673532da4ef,https://obfuscated.source.example/71cce3963404fd77,No,news bulletin,69930982,,2,1,
Headline_b878101c4bf9,https://obfuscated.source.example/837e47f5c8051d5d,No,news bulletin,920987137,,2,1,
Headline_e7c551dec9e4,https://obfuscated.source.example/59237a0e0e804638,No,news bulletin,662978781,,2,1,
Headline_6e92e7e55274,https://obfuscated.source.example/9c14ba04dbd750d2,No,news bulletin,459974219,,2,1,
Headline_c955b655a860,https://obfuscated.source.example/ac07a1f955866797,No,news bulletin,593662981,,2,1,
Headline_d3a9b89fb39d,https://obfuscated.source.example/77038635559c6edc,No,news bulletin,799103608,,2,1,
Headline_ef2bcba24bc6,https://obfuscated.source.example/0d92d86fffad1fc3,No,news bulletin,411414243,,3,1,
Headline_80cd5359eaa4,https://obfuscated.source.example/69de75853b89bd87,No,news bulletin,680944002,,2,1,
,https://obfuscated.source.example/f56b63f98d36f1af,No,interview,552113107,,1,1,
Headline_c716d52ab6ac,https://obfuscated.source.example/295d1d693a6b3328,No,interview,758235806,,1,1,
Headline_aa5c964c652d,https://obfuscated.source.example/14394632c1e25389,No,interview,93428056,,1,1,
Headline_d11fd04f81a7,https://obfuscated.source.example/e2df793e0f4dbcdd,No,interview,707152232,,1,1,
Headline_1b645219ab22,https://obfuscated.source.example/555808ecade10b29,No,interview,734304989,,1,1,
Headline_4ae7f9cb2587,https://obfuscated.source.example/99e26a45960f5fd5,No,interview,121358202,,1,1,
Headline_111223b9d531,https://obfuscated.source.example/3ddba8358bfb2961,No,interview,941635640,,1,1,
Headline_a0e752350116,https://obfuscated.source.example/1ae76a11ad7d05a8,No,interview,734272151,,1,1,
Headline_06411d7861cf,https://obfuscated.source.example/4e210bb431750caf,No,interview,16618295,,1,1,
Headline_8acf619fb5a0,https://obfuscated.source.example/00727d969beee4f8,No,interview,168794988,,1,1,
Headline_9a11d888ecfd,https://obfuscated.source.example/22d4a1fa1bd1df88,No,interview,425273547,,1,1,
Headline_2f0a7e4e0732,https://obfuscated.source.example/340fd3bd7deae0bd,No,interview,639254826,,1,1,
Headline_2753df3e86f5,https://obfuscated.source.example/607148f2c2d8750d,No,interview,568624871,,3,1,
Headline_cef0823679aa,https://obfuscated.source.example/3f5ca545b255f96f,No,interview,956822666,,1,1,
Headline_9391a34ab048,https://obfuscated.source.example/0888b5263098338d,No,interview,757130375,,1,1,
Headline_2993df0ef6ea,https://obfuscated.source.example/34da9f6e815ddbb0,No,interview,674051441,,1,1,
Headline_037b3210237b,https://obfuscated.source.example/b3b38ef20835922b,No,interview,91856518,,1,1,
Headline_f1c07e57fd98,https://obfuscated.source.example/719c6b6141916328,No,interview,100245729,,1,1,
Headline_6914bb648e83,https://obfuscated.source.example/bf28cc1e3f6a05fd,No,interview,127965732,,1,1,
Headline_112cc0e93f1b,https://obfuscated.source.example/7392f8e9934a2100,No,interview,177191461,,1,1,
Headline_a78c1f95c23b,https://obfuscated.source.example/a52d7c05af3aebc7,No,debate,477376412,,4,1,
Headline_bf0aa9a59f85,https://obfuscated.source.example/dd9cdd91a3301bdd,No,debate,560965346,,4,1,
Headline_35c9f1935b94,https://obfuscated.source.example/8c2d554e90e02cee,No,debate,613976989,,4,1,
Headline_c306476de76b,https://obfuscated.source.example/1c262c2643e54ec1,No,debate,200274517,,4,1,
Headline_cd0eb5c8ecf5,https://obfuscated.source.example/8dd6c3b61ae59303,No,debate,905264827,,4,1,
Headline_b370d4252415,https://obfuscated.source.example/7c9ec8d95ad48471,No,debate,139380506,,4,1,
Headline_79739717735d,https://obfuscated.source.example/4c0208bd945edfb6,No,debate,763363039,,4,1,
Headline_c21b0db8b5d8,https://obfuscated.source.example/e38c8158cb3d27a4,No,debate,185702459,,4,1,
Headline_42b697f0b886,https://obfuscated.source.example/3dcd9eaddc972a8b,No,debate,314653766,,4,1,
Headline_5b1a7b1fd760,https://obfuscated.source.example/85a91a59a68b4edc,No,interview,243247307,,3,1,
Headline_4656c9e37e2b,https://obfuscated.source.example/b0e0f32981cc49d5,No,interview,874040645,,3,1,
Headline_1d89e700b927,https://obfuscated.source.example/87cb44f7a021bfb5,No,interview,104771599,,3,1,
Headline_494dc676b807,https://obfuscated.source.example/64d08a494b2905b1,No,interview,125908830,,3,1,
Headline_e86122100123,https://obfuscated.source.example/72780ad0fde68fca,No,interview,378105633,,3,1,
Headline_e86122100123,https://obfuscated.source.example/1f7beceb36a6e56d,No,interview,620698468,,3,1,
Headline_dba60b9cbd2e,https://obfuscated.source.example/e87e023521a96be0,No,interview,420886688,,3,1,
Headline_5a6beac58189,https://obfuscated.source.example/6adcc3476e37aed9,No,interview,897763684,,3,1,
Headline_60c15a1a791a,https://obfuscated.source.example/ba32d310148e8f4e,No,interview,666791597,,3,1,
Headline_1bc5eb986fb4,https://obfuscated.source.example/64fbebe62ae6d157,No,speech,528312214,,5,1,
Headline_5bee0d3ce4a5,https://obfuscated.source.example/8f73a80d7aabaeb2,No,speech,636382357,,5,1,
Headline_023b00e1baae,https://obfuscated.source.example/924ce3b9247eb764,No,speech,734193890,,5,1,
Headline_37a5c15d4c07,https://obfuscated.source.example/96787d5c26b67c34,No,speech,363035931,,5,1,
Headline_e54b1ed1ac46,https://obfuscated.source.example/584bb43298c8cebd,No,speech,235974678,,5,1,
Headline_989684ef5054,https://obfuscated.source.example/2ae54a7f46c560ca,No,speech,739845573,,5,1,
Headline_604e09000578,https://obfuscated.source.example/17f2fdc217fddfc5,No,special reports,700579660,,6,1,
Headline_99d01b87d3bf,https://obfuscated.source.example/3aae0a3100955f63,No,special reports,824938068,,6,1,
Headline_4cbe180ca13d,https://obfuscated.source.example/7fb70542e4c44012,No,special reports,168248493,,6,1,
Headline_725cbfb1cf56,https://obfuscated.source.example/ed21e4144ae232c1,No,special reports,590860515,,6,1,
Headline_29fb3305b4af,https://obfuscated.source.example/a8125e775876285e,No,special reports,389316960,,6,1,
Headline_0a4729204929,https://obfuscated.source.example/67377b714b09ad82,No,special reports,139056105,,6,1,
Headline_5faa7cf79b9a,https://obfuscated.source.example/7b3ee885c44f8f9d,No,special reports,717298893,,6,1,
Headline_357fdae759d5,https://obfuscated.source.example/8908d9fd321598c5,No,special reports,229099257,,6,1,
Headline_75a2e4a6ca37,https://obfuscated.source.example/6adcc3476e37aed9,No,special reports,775536383,,6,1,
Headline_7570966ad582,https://obfuscated.source.example/00f96f498df06cf3,No,interview,207367337,,7,1,
Headline_dd856eaf2a00,https://obfuscated.source.example/f2a1a55f6900dac1,No,interview,308835627,,7,1,
Headline_620b0ed3e2e4,https://obfuscated.source.example/8ce6f0754f5c3aa1,No,interview,535324331,,7,1,
Headline_c2a4ec46ce54,https://obfuscated.source.example/4d8150d440ceb523,No,interview,124610771,,7,1,
Headline_ec26c6d2bec6,https://obfuscated.source.example/2ae54a7f46c560ca,No,interview,171207241,,7,1,
Headline_c2a4ec46ce54,https://obfuscated.source.example/d64d20fca9697f67,No,interview,591575849,,7,1,
Headline_aa2235d0b4ad,https://obfuscated.source.example/4f9d48de5c1a546a,No,interview,982985074,,7,1,
Headline_770ea371def4,https://obfuscated.source.example/ad5a92942a76ee02,No,debate,422987745,,1,1,
Headline_8bf881bfdc95,https://obfuscated.source.example/ad5a92942a76ee02,No,interview,744215559,,1,1,
Headline_d95ed789622e,https://obfuscated.source.example/3254b14d98d5880a,No,debate,408436127,,1,1,
Headline_930fea177ebd,https://obfuscated.source.example/9dd8bca95ed5d4a9,No,interview,110481575,,1,1,
Headline_8ac501268265,https://obfuscated.source.example/4d23e68fef54166f,No,interview,148683062,,1,1,
Headline_245d95c7a7a3,https://obfuscated.source.example/05ce76d371671e59,No,interview,986567332,,1,1,
Headline_7e40ea791fce,https://obfuscated.source.example/a1419a3e577200e7,No,interview,575526449,,1,1,
Headline_cde1ce77d19e,https://obfuscated.source.example/46d277e87a4648f9,No,debate,316866394,,1,1,
Headline_eeb600ada36f,https://obfuscated.source.example/be6770ccb026d081,No,debate,234797555,,1,1,
Headline_5941d2a05885,https://obfuscated.source.example/bb8adeed369cbe23,No,interview,630846555,,1,1,
Headline_fab121801ffb,https://obfuscated.source.example/42df27c969c3032e,No,interview,848015721,,1,1,
Headline_3918dcaf040b,https://obfuscated.source.example/904a4915cdb221ce,No,interview,74750527,,1,1,
Headline_ae4c63ddd31f,https://obfuscated.source.example/904a4915cdb221ce,No,debate,618940145,,1,1,
,https://obfuscated.source.example/309ade5fecf1e4d6,No,interview,261761229,,1,1,
,https://obfuscated.source.example/595259a15717d518,No,interview,785000330,,1,1,
Headline_975322252c61,https://obfuscated.source.example/b941c1ba6623160e,No,special reports,709726488,,1,1,
Headline_a6fec5fe9d17,https://obfuscated.source.example/9fdb882945ae6c01,No,interview,388985664,,1,1,
Headline_32963f05abc2,https://obfuscated.source.example/70b5efd532dd84ee,No,interview,288461808,,1,1,
Headline_260ee57e0fe6,https://obfuscated.source.example/701e2b30fd5e2837,No,interview,146425366,,1,1,
Headline_b75ff1b8cc8a,https://obfuscated.source.example/b023299bae2b6195,No,press conference,421487448,,1,1,
Headline_b44322e8c3a3,https://obfuscated.source.example/ec0989cc059a815f,No,speech,403768940,,1,1,
Headline_3d401fbaa658,https://obfuscated.source.example/f1c536701436738f,No,special reports,368379490,,1,1,
Headline_3e4a82ddae96,https://obfuscated.source.example/cb75c53c03b979b2,No,news bulletin,185155229,,1,1,
Headline_08a1ed0d24b3,https://obfuscated.source.example/9c9cdbfb85a70da1,No,special reports,314726586,,1,1,
Headline_878774c966e4,https://obfuscated.source.example/d0bf63b6307a6d1b,No,special reports,517400733,,1,1,
Headline_0be7eb41639e,https://obfuscated.source.example/db1fcfc6679b06df,No,special reports,82475831,,1,1,
Headline_31b301ae877f,https://obfuscated.source.example/feb1afcf5ee585fc,No,press conference,970137233,,1,1,
Headline_4cad21624653,https://obfuscated.source.example/4d1e7a64ea5503b3,No,news bulletin,541168499,,1,1,
Headline_e9f605e25c30,https://obfuscated.source.example/6a5d1473e50e67e3,No,debate,759287766,,1,1,
Headline_f2eb79773bca,https://obfuscated.source.example/a99695b2e3a0c1ea,No,press conference,600612023,,1,1,
Headline_94a06cae16f5,https://obfuscated.source.example/29caf98bce196d41,No,press conference,201107747,,1,1,
Headline_96971cfc4eca,https://obfuscated.source.example/5ddaa7f7f65e546a,No,press conference,518335782,,1,1,
Headline_48788683c6ca,https://obfuscated.source.example/02a46d72cccf4bfe,No,news bulletin,2955582,,1,1,
Headline_700a4aa1f477,https://obfuscated.source.example/803aecf8c05fc23e,No,news bulletin,744249876,,1,1,
Headline_b219bee7b21d,https://obfuscated.source.example/6baded67991b7aa9,No,debate,109271230,,1,1,
Headline_184d3d289456,https://obfuscated.source.example/a7b9f07c5601818a,No,debate,944043310,,1,1,
Headline_e2b1ca6f0006,https://obfuscated.source.example/e7114e4a11b1b0a1,No,news bulletin,229814541,,1,1,
Headline_47375ca05c51,https://obfuscated.source.example/5648e5564dbc8806,No,speech,749792317,,1,1,
Headline_6366c2a3f74b,https://obfuscated.source.example/1e9c40227fd83bb8,No,speech,119040868,,1,1,
Headline_b06e5448b83a,https://obfuscated.source.example/565849bcbc6e6198,No,special reports,183997905,,1,1,
Headline_124d84617a44,https://obfuscated.source.example/565849bcbc6e6198,No,press conference,97087806,,1,1,
Headline_e8bad7c0481a,https://obfuscated.source.example/33d473808d6208fc,No,speech,653703193,,1,1,
Headline_bea3eda3783d,https://obfuscated.source.example/8a2af86f39f23d7a,No,speech,785479290,,1,1,
Headline_d4710d9f9b06,https://obfuscated.source.example/bba8ce3cce109d1b,No,special reports,777994193,,1,1,
Headline_da4d13951845,https://obfuscated.source.example/b8388c0ed5d097af,No,debate,110246983,,1,1,
Headline_3adfcce87757,https://obfuscated.source.example/b8388c0ed5d097af,No,interview,674086643,,1,1,
Headline_83e8d7b76ccf,https://obfuscated.source.example/b8388c0ed5d097af,No,news bulletin,789605789,,1,1,
,https://obfuscated.source.example/b8388c0ed5d097af,No,news bulletin,385222639,,1,1,
Headline_61bb40dfb177,https://obfuscated.source.example/b8388c0ed5d097af,No,speech,61822928,,1,1,
Headline_1f942e78d368,https://obfuscated.source.example/29b9df55a8d51227,No,press conference,570637397,,1,1,
Headline_9743f0001130,https://obfuscated.source.example/bad458abcdceafe5,No,special reports,737541212,,1,1,
Headline_e40b0e9cac41,https://obfuscated.source.example/8c6f71d49ef92964,No,special reports,405918794,,1,1,
,https://obfuscated.source.example/8c6f71d49ef92964,No,,486506561,,1,1,
Headline_2c6cf1283c87,https://obfuscated.source.example/25758b7b2604c91a,No,press conference,829638984,,1,1,
Headline_255ca2f09f6f,https://obfuscated.source.example/8f535f3d2680496b,No,press conference,874807085,,1,1,
Headline_97a4fe8b9a4c,https://obfuscated.source.example/9e41a7bacf28131d,No,special reports,526603654,,1,1,
Headline_ddd47d65e2e4,https://obfuscated.source.example/41693da9640c15ae,No,interview,980265248,,1,1,
Headline_180ce1c1bdc6,https://obfuscated.source.example/be4acb16b4e1f738,No,special reports,687364400,,1,1,
Headline_4c746294b553,https://obfuscated.source.example/d58e03ad14addd1b,No,special reports,529829360,,1,1,
Headline_6b3584e6f970,https://obfuscated.source.example/e5990fbf2d549ef0,No,special reports,58040491,,1,1,
Headline_06fa4341c6a3,https://obfuscated.source.example/3e07c2bcfc5c18ff,No,special reports,442118596,,1,1,
Headline_c1807c298c0d,https://obfuscated.source.example/05baf05cb30ceb1b,No,speech,780037604,,1,1,
Headline_439c538a442c,https://obfuscated.source.example/3e20bb255ad98818,No,speech,736418320,,1,1,
Headline_d0ce990d4538,https://obfuscated.source.example/8095c9c351ddb3c0,No,press conference,187128226,,1,1,
Headline_85c5b3541896,https://obfuscated.source.example/7bc4be6806903e36,No,special reports,318509625,,1,1,
Headline_b736f616161a,https://obfuscated.source.example/d514168917b9a8bd,No,press conference,788151644,,1,1,
Headline_f79b39934634,https://obfuscated.source.example/5598482d07114cd2,No,speech,229970048,,1,1,
Headline_4a9464cb4e0c,https://obfuscated.source.example/75d57b425f0ff578,No,interview,849190677,,1,1,
Headline_5a4a9e11ba89,https://obfuscated.source.example/d911d00cff60b552,No,special reports,478081895,,1,1,
Headline_4d85d635cc76,https://obfuscated.source.example/61ce0870b143dc4d,No,special reports,186789327,,1,1,
Headline_f55f37a6d219,https://obfuscated.source.example/6a4f48c2c83fbb6d,No,special reports,830382805,,1,1,
Headline_5a536fd31b1b,https://obfuscated.source.example/6b9c7ddcfe83512f,No,special reports,16577573,,1,1,
Headline_90a1303a6390,https://obfuscated.source.example/3312ded88078c36e,No,special reports,967903553,,1,1,
Headline_8a37cfb710a8,https://obfuscated.source.example/7f08a9a08ec36bdf,No,press conference,287589589,,1,1,
Headline_ea863cd60a1e,https://obfuscated.source.example/b6a783b7a5180e0e,No,interview,81109112,,1,1,
Headline_70d3ed7ec6ae,https://obfuscated.source.example/06d1fd9ef33570c0,No,speech,30784797,,1,1,
Headline_f8297ec42d36,https://obfuscated.source.example/5ab92c3d2024f145,No,interview,299386255,,1,1,
Headline_c2721b8aed16,https://obfuscated.source.example/26efc90a38c7b094,No,interview,5460803,,1,1,
Headline_44fd0d244574,https://obfuscated.source.example/fab2878ca1f80941,No,interview,373998564,,1,1,
Headline_a68fd96d262a,https://obfuscated.source.example/840bdaf698bfd5d8,No,interview,501290076,,1,1,
Headline_f0006991b7e0,https://obfuscated.source.example/e73fe357a82ef3f9,No,special reports,48573155,,1,1,
Headline_b2cc15eb1564,https://obfuscated.source.example/e48c6e231533a8cc,No,speech,80563304,,4,1,
Headline_e4e666ab193e,https://obfuscated.source.example/678d0754da0d8763,No,speech,367081387,,4,1,
Headline_54b241d9685b,https://obfuscated.source.example/b91edb8b315096fb,No,speech,284067776,,4,1,
Headline_2dadcbf7216f,https://obfuscated.source.example/2788dd3c6525d871,No,speech,68348849,,4,1,
Headline_0b85e91f5ab1,https://obfuscated.source.example/459ececcff8a6dd3,No,speech,845104709,,4,1,
,https://obfuscated.source.example/f50f363630ed48d8,No,speech,691224242,,4,1,
Headline_5068c15af55c,https://obfuscated.source.example/50ebac1d65d755ce,No,news bulletin,204432796,,4,1,
Headline_0f3848178c34,https://obfuscated.source.example/a6ba9c37e5563f16,No,news bulletin,367708034,,4,1,
Headline_3d5929c78e81,https://obfuscated.source.example/d785884db802bc41,No,news bulletin,763124981,,4,1,
Headline_eb4c4ef67e84,https://obfuscated.source.example/df932f436488f631,No,news bulletin,39327344,,4,1,
Headline_edddf20381b9,https://obfuscated.source.example/4d9012b91498b399,No,news bulletin,501287178,,4,1,
Headline_68f27a7ef1db,https://obfuscated.source.example/c14d079bc891a488,No,speech,46811233,,8,1,
Headline_63440e68f403,https://obfuscated.source.example/2c6a86e857f5e6db,No,speech,290400023,,8,1,
Headline_06cc94d00fdb,https://obfuscated.source.example/14ce06f5f7a15864,No,speech,285461185,,8,1,
Headline_d567f64a3c66,https://obfuscated.source.example/e21c7b651dd91a03,No,speech,1071524,,8,1,
Headline_ef4474a80d86,https://obfuscated.source.example/d45e3cb81f14629d,No,special reports,626432983,,8,1,
Headline_bc1630ce55ee,https://obfuscated.source.example/f6ec3a07b1c9de50,No,press conference,65391498,,8,1,
Headline_19dc304a476a,https://obfuscated.source.example/f7d19ded24475fe3,No,special reports,455015332,,8,1,
Headline_defc6fe415a7,https://obfuscated.source.example/e4f013aff3d12abd,No,special reports,961812549,,8,1,
Headline_9d3ae45dcbea,https://obfuscated.source.example/b558a1022488e7be,No,special reports,57204778,,8,1,
Headline_f7b4f9150ad0,https://obfuscated.source.example/3e5d10e2c8bc0e48,No,speech,31942601,,8,1,
Headline_1a51841e9ed8,https://obfuscated.source.example/7f4574d34768292e,No,press conference,498472544,,8,1,
Headline_350bfd3d6350,https://obfuscated.source.example/e9e99caf57426c0f,No,press conference,130513712,,8,1,
Headline_fd46f0975e48,https://obfuscated.source.example/9090d7cc8a7bed84,No,press conference,10470263,,8,1,
Headline_ae0fcd3df7dc,https://obfuscated.source.example/83f665edfd7f50d6,No,debate,225539934,,8,1,
Headline_8ab429646ebe,https://obfuscated.source.example/d5e847e9507b97ab,No,interview,809102546,,8,1,
Headline_330466569ca2,https://obfuscated.source.example/b8901851fab250f3,No,speech,384692047,,8,1,
Headline_91744cf7ab4c,https://obfuscated.source.example/33338d3b2c11f905,No,interview,662653509,,8,1,
Headline_30db39a53167,https://obfuscated.source.example/47ebdbc8937efb97,No,interview,149773860,,8,1,
Headline_5d91b409fdf6,https://obfuscated.source.example/e8a282682107c21f,No,interview,622739847,,8,1,
Headline_fd8948b69cb1,https://obfuscated.source.example/80e131d680711be7,No,news bulletin,973646292,,4,1,
Headline_813630aeebff,https://obfuscated.source.example/db3115e5a4af9ee5,No,news bulletin,964763893,,4,1,
Headline_662e632a2621,https://obfuscated.source.example/2dd6b87d59fb0722,No,news bulletin,18754318,,4,1,
Headline_c90215c5cfe2,https://obfuscated.source.example/fbcfcac6f0d58bbd,No,news bulletin,985096699,,4,1,
Headline_fe31d9c4e7c7,https://obfuscated.source.example/31956c39cd78ee0d,No,news bulletin,439728877,,4,1,
Headline_4666563363fb,https://obfuscated.source.example/cb7b6a82fb721933,No,news bulletin,692011487,,4,1,
Headline_7806815c50de,https://obfuscated.source.example/00d145b319f2b8e6,No,news bulletin,654192928,,4,1,
Headline_c1521753f11c,https://obfuscated.source.example/8f991b3aa8a41abb,No,news bulletin,509933832,,4,1,
Headline_ced34b5a45f2,https://obfuscated.source.example/b14d69533a29ddfc,No,news bulletin,941709281,,4,1,
Headline_a29c4df0eac9,https://obfuscated.source.example/49bfd9a010717dbd,No,news bulletin,228268784,,4,1,
Headline_a78cdfe0ab9e,https://obfuscated.source.example/99da8fd1852e5e7f,No,news bulletin,794605554,,4,1,
Headline_434bad17f02c,https://obfuscated.source.example/b8901851fab250f3,No,press conference,612199417,,8,1,
Headline_a80d9794d1b1,https://obfuscated.source.example/b8901851fab250f3,No,special reports,35856398,,8,1,
Headline_12130b9990a6,https://obfuscated.source.example/b8901851fab250f3,No,speech,128429737,,8,1,
Headline_15dc2a283459,https://obfuscated.source.example/b8901851fab250f3,No,interview,792575367,,8,1,
Headline_cfb10788575d,https://obfuscated.source.example/b8901851fab250f3,No,debate,798993103,,8,1,
Headline_a9a6ab1b07dc,https://obfuscated.source.example/4ff276c742f23fc5,No,speech,410428425,,7,1,
Headline_7de704f086a4,https://obfuscated.source.example/58fcc898ce30fc35,No,speech,430989837,,7,1,
Headline_f8bc201694d4,https://obfuscated.source.example/d64d20fca9697f67,No,speech,589643887,,7,1,
Headline_fdcd5c04b87b,https://obfuscated.source.example/4ccc5a5ddce72667,No,interview,409150817,,7,1,
,https://obfuscated.source.example/28426227c4843fe5,No,interview,224635954,,7,1,
,https://obfuscated.source.example/d64d20fca9697f67,No,interview,332560886,,7,1,
Headline_3ca437a37a33,https://obfuscated.source.example/1718979b85b91467,No,interview,775468132,,7,1,
Headline_01ca5540e699,https://obfuscated.source.example/a58c1372e1791eca,No,interview,348197423,,7,1,
Headline_5068d765a4b8,https://obfuscated.source.example/929b3ee815e46db3,No,special reports,934877912,,8,1,
Headline_aad96da06b9c,https://obfuscated.source.example/4048b251b4819e9d,No,special reports,462428346,,8,1,
Headline_a91b913d6416,https://obfuscated.source.example/3ebcdfa1d4429734,No,special reports,660216447,,8,1,
Headline_08a1ed0d24b3,https://obfuscated.source.example/8036ec8082e1c865,No,special reports,553101509,,8,1,
Headline_d500dbef0ca1,https://obfuscated.source.example/a1d2ae9db88e4bcc,No,special reports,905330148,,8,1,
Headline_557a32b08f01,https://obfuscated.source.example/d96bcb412d627aef,No,special reports,635055391,,8,1,
Headline_1aaf4ce72eb8,https://obfuscated.source.example/7ecc825a4d9f17f6,No,special reports,352418623,,8,1,
Headline_676729a07836,https://obfuscated.source.example/ee5eff3f1b239b92,No,special reports,391804479,,8,1,
Headline_a570be517f72,https://obfuscated.source.example/364e6a0e2ff3e4d6,No,special reports,663142188,,8,1,
Headline_365b132abe63,https://obfuscated.source.example/2ae54a7f46c560ca,No,interview,68316247,,7,1,
Headline_042364619888,https://obfuscated.source.example/90789d2d8a43d2ae,No,special reports,566331095,,8,1,
Headline_0e19f61365d3,https://obfuscated.source.example/90789d2d8a43d2ae,No,special reports,2054704,,8,1,
Headline_5dbc462eb2b4,https://obfuscated.source.example/d64d20fca9697f67,No,special reports,443370049,,8,1,
Headline_6ad421e368cf,https://obfuscated.source.example/d64d20fca9697f67,No,special reports,21470876,,8,1,
Headline_4d335d9cd0ee,https://obfuscated.source.example/d64d20fca9697f67,No,special reports,499623422,,8,1,
Headline_b71a433fda4b,https://obfuscated.source.example/b52d562675e8b54e,No,news bulletin,62274234,,4,1,
Headline_ed47912a2033,https://obfuscated.source.example/b8f690ed57d44b16,No,news bulletin,763254050,,4,1,
Headline_2461e2d097b8,https://obfuscated.source.example/e56728d140465507,No,news bulletin,167650087,,4,1,
Headline_b04fe3dcd571,https://obfuscated.source.example/15ca8b39047848d0,No,news bulletin,993656710,,4,1,
Headline_9689abd5d2d8,https://obfuscated.source.example/80a762f112d19b73,No,news bulletin,450979212,,4,1,
Headline_42cad71990ed,https://obfuscated.source.example/5955e515846db3ed,No,news bulletin,814733364,,4,1,
Headline_e16b52ad200e,https://obfuscated.source.example/ca3bbc436faf2561,No,news bulletin,70509049,,4,1,
Headline_764f1675a53f,https://obfuscated.source.example/9ac28ff57d5a0039,No,news bulletin,522885597,,4,1,
Headline_865897c5ce8b,https://obfuscated.source.example/68626501eeee04f1,No,news bulletin,834906823,,4,1,
Headline_6f6b59708b82,https://obfuscated.source.example/748509a45b270438,No,news bulletin,963369623,,4,1,
Headline_19a486040b57,https://obfuscated.source.example/874efa6e8815ec35,No,news bulletin,293314368,,4,1,
Headline_8e1926a1fbc3,https://obfuscated.source.example/1930dcefe33e62c4,No,news bulletin,781293248,,4,1,
Headline_df399fd50907,https://obfuscated.source.example/ed7f14108993cd83,No,news bulletin,221277194,,4,1,
Headline_08faee00bec5,https://obfuscated.source.example/77a37daac14eca56,No,news bulletin,310547579,,4,1,
Headline_b4e9decaed69,https://obfuscated.source.example/211dfd0c201cd5e0,No,news bulletin,393079287,,4,1,
Headline_e0c8f000d67a,https://obfuscated.source.example/331d2a2bc82b36b2,No,news bulletin,289446712,,4,1,
