Uploaded Count,Created Count,Published Count,Uploaded Duration (hh:mm:ss),Created Duration (hh:mm:ss),Published Duration (hh:mm:ss),User_ID,Channel_ID
4,11,0,0:06:44,0:10:00,0:00:00,13,4
4,9,0,0:11:59,0:29:09,0:00:00,23,8
4,10,0,0:18:44,0:32:46,0:00:00,1,6
4,11,0,0:52:04,1:20:57,0:00:00,26,1
3,10,0,0:13:46,0:19:59,0:00:00,42,16
3,10,0,0:03:00,0:06:22,0:00:00,33,3
3,3,0,0:16:51,0:16:51,0:00:00,14,8
3,20,3,0:12:20,0:44:40,0:02:54,41,1
3,3,0,0:10:10,0:10:10,0:00:00,14,7
3,6,0,0:09:48,0:15:03,0:00:00,18,10
3,7,0,0:11:00,0:19:14,0:00:00,28,11
3,6,0,0:04:20,0:06:32,0:00:00,13,11
3,8,0,0:19:15,0:25:22,0:00:00,23,4
3,45,0,1:41:17,6:23:34,0:00:00,23,5
3,20,0,0:16:13,0:57:50,0:00:00,1,5
3,11,0,1:00:29,1:32:21,0:00:00,9,2
3,12,0,0:31:06,0:45:06,0:00:00,14,4
3,13,0,0:16:23,0:37:08,0:00:00,4,4
2,9,0,0:14:03,0:19:59,0:00:00,39,8
2,10,0,0:29:00,0:36:39,0:00:00,39,5
2,2,0,0:17:02,0:17:02,0:00:00,11,8
2,2,0,0:05:19,0:05:19,0:00:00,41,5
2,2,0,1:30:30,1:30:30,0:00:00,43,3
2,3,0,0:20:13,0:21:07,0:00:00,12,17
2,12,0,0:08:48,0:14:58,0:00:00,39,1
2,2,0,0:24:48,0:24:48,0:00:00,25,8
2,2,0,1:04:56,1:04:56,0:00:00,17,8
2,2,0,0:01:09,0:01:09,0:00:00,34,2
2,5,0,0:06:44,0:14:22,0:00:00,34,11
2,5,0,0:08:04,0:16:49,0:00:00,13,10
2,10,0,0:08:50,0:22:05,0:00:00,28,17
2,6,0,0:08:50,0:14:09,0:00:00,28,18
2,5,0,0:08:04,0:18:24,0:00:00,28,10
2,3,0,0:08:50,0:11:15,0:00:00,30,12
2,3,0,0:04:21,0:08:23,0:00:00,16,10
2,7,0,0:13:41,0:33:57,0:00:00,11,5
2,5,0,0:12:22,0:27:46,0:00:00,26,5
2,5,0,0:03:27,0:07:11,0:00:00,3,8
2,9,0,0:15:45,0:41:51,0:00:00,1,10
2,6,0,0:09:39,0:23:04,0:00:00,4,7
1,3,0,0:02:46,0:03:47,0:00:00,42,14
1,1,0,0:02:24,0:02:24,0:00:00,35,18
1,1,0,0:57:31,0:57:31,0:00:00,20,1
1,2,0,0:01:00,0:01:39,0:00:00,44,5
1,1,0,0:03:04,0:03:04,0:00:00,38,8
1,1,0,0:26:03,0:26:03,0:00:00,37,2
1,4,0,0:00:40,0:01:41,0:00:00,44,1
1,44,0,2:19:35,5:58:58,0:00:00,40,12
1,7,0,0:06:23,0:24:41,0:00:00,42,7
1,3,0,0:01:19,0:02:38,0:00:00,39,16
1,5,0,0:00:44,0:03:15,0:00:00,36,1
1,2,0,0:00:14,0:00:32,0:00:00,34,1
1,1,0,0:02:10,0:02:10,0:00:00,30,6
1,2,0,0:00:37,0:00:44,0:00:00,34,8
1,1,0,0:07:18,0:07:18,0:00:00,14,6
1,2,0,0:05:06,0:07:48,0:00:00,33,7
1,2,0,0:04:25,0:08:15,0:00:00,28,16
1,1,0,0:00:00,0:00:00,0:00:00,5,6
1,1,0,0:00:00,0:00:00,0:00:00,30,16
1,1,0,0:00:00,0:00:00,0:00:00,15,10
1,1,0,0:03:33,0:03:33,0:00:00,15,11
1,1,0,0:06:53,0:06:53,0:00:00,16,17
1,1,0,0:05:16,0:05:16,0:00:00,5,8
1,1,0,0:00:54,0:00:54,0:00:00,2,12
1,2,0,0:07:30,0:08:18,0:00:00,16,16
1,1,0,0:00:00,0:00:00,0:00:00,26,4
1,3,0,0:00:48,0:01:55,0:00:00,1,16
1,1,0,0:03:28,0:03:28,0:00:00,1,11
1,3,0,0:04:29,0:13:17,0:00:00,10,4
1,81,0,0:00:19,0:03:24,0:00:00,16,12
1,1,0,0:00:19,0:00:19,0:00:00,16,7
1,2,0,0:01:12,0:01:38,0:00:00,21,4
1,5,0,0:07:49,0:18:02,0:00:00,6,3
0,5,0,0:00:00,0:01:16,0:00:00,27,3
0,2,0,0:00:00,0:00:31,0:00:00,33,2
0,2,0,0:00:00,0:05:50,0:00:00,1,3
0,2,0,0:00:00,0:00:24,0:00:00,16,9
0,2,0,0:00:00,0:01:26,0:00:00,23,11
0,1,0,0:00:00,0:01:08,0:00:00,25,1
0,1,0,0:00:00,0:00:07,0:00:00,21,1
0,1,0,0:00:00,0:00:31,0:00:00,18,8
0,1,0,0:00:00,0:00:53,0:00:00,16,5
0,1,0,0:00:00,0:01:00,0:00:00,6,5
0,1,0,0:00:00,0:00:35,0:00:00,14,11
0,1,0,0:00:00,0:01:13,0:00:00,23,10
0,1,0,0:00:00,0:00:15,0:00:00,15,4
